parameter,metal,oxide,surface
temperature,0.5395783951937883,0.5795838227547844,0.342658803840898
H_sol_ox,0.18707133509839222,0.20539798764728176,0.24113070139504536
P_upstream,0.091452673986464,0.06076503055720917,0.1475830227983628
trap_gb_N_T,0.1159072908048121,0.06155325709488548,0.0930204785117519
E_D,0.09825477279158608,0.05612862710373804,0.10797625731757625
f_pinhole,0.08174092287790621,0.07010989937936941,0.10312804299256353
oxide_thickness,0.09360189132159259,0.08129017522138798,0.07322502642069675
grain_size,0.08155480789983363,0.07290806232384513,0.08958063355956095
k_diss_ref,0.08821588535583118,0.0675925413765491,0.08473079960219998
lattice_density,0.07261516063441471,0.05697112662334773,0.10940697499580891
f_crack,0.07033362401672733,0.06646267210288595,0.09952575642605314
H_s,0.0657916714842111,0.06085051293511353,0.10236690449896191
H_eq_metal,0.07333793453456496,0.05769430370002307,0.09766463819917202
trap_vacancy_N_T,0.0729155067554514,0.057636408647556155,0.09789151613348
metal_thickness,0.10142276665105104,0.05341860899093603,0.07046994971032952
gb_diffusivity_factor,0.09119140307574135,0.06370485645192794,0.06597789441495966
K_eq_ref,0.038952935978977345,0.05489920262982288,0.12604247474856073
f_gb_defect,0.08294352204015523,0.06637390706282148,0.06480437041137596
D_ox_ref,0.07315163033262338,0.06879798787351446,0.06967415714893997
trap_dislocation_N_T,0.06561312766424864,0.07753556134992434,0.06558246166407188
D_ref,0.07758239212772755,0.07937058224170762,0.049008103680916765
trap_carbide_N_T,0.051081742727692954,0.06708683058276503,0.0539409902874837
